#,Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP
468,"LAPERRIERE, IAN",Colorado,74,1023:59,7,12,10,19,61,93,110,11.48,0.41,0.70,0.59,1.11,3.57,5.45,6.45,26.9,46.2,73.1
469,"MARTIN, PAUL",New Jersey,73,1778:47,5,28,12,33,107,134,202,4.67,0.17,0.94,0.40,1.11,3.61,4.52,6.81,5.1,28.6,33.7
470,"RIVET, CRAIG",Buffalo,64,1295:08,2,22,15,24,80,114,169,2.50,0.09,1.02,0.69,1.11,3.71,5.28,7.83,3.1,34.4,37.5
471,"BALLARD, KEITH",Florida,82,1835:18,6,28,17,34,106,160,235,5.66,0.20,0.92,0.56,1.11,3.47,5.23,7.68,7.1,32.9,40.0
472,"AUCOIN, ADRIAN",Calgary,80,1782:45,10,23,8,33,126,196,293,7.94,0.34,0.77,0.27,1.11,4.24,6.60,9.86,10.9,25.0,35.9
473,"MADDEN, JOHN",New Jersey,76,1246:51,7,16,9,23,132,167,210,5.30,0.34,0.77,0.43,1.11,6.35,8.04,10.11,23.3,53.3,76.7
474,"OLESZ, ROSTISLAV",Florida,37,488:23,4,5,3,9,69,84,99,5.80,0.49,0.61,0.37,1.11,8.48,10.32,12.16,25.0,31.2,56.2
475,"ALLEN, BRYAN",Florida,2,54:22,0,1,0,1,5,6,7,0.00,0.00,1.10,0.00,1.10,5.52,6.62,7.73,0.0,33.3,33.3
476,"TOOTOO, JORDIN",Nashville,72,870:20,4,12,5,16,138,191,246,2.90,0.28,0.83,0.34,1.10,9.51,13.17,16.96,18.2,54.5,72.7
477,"VLASIC, MARC-EDOUARD",San Jose,82,1959:36,6,30,10,36,104,154,256,5.77,0.18,0.92,0.31,1.10,3.18,4.72,7.84,5.8,29.1,35.0
478,"LEBDA, BRETT",Detroit,64,875:06,6,10,6,16,69,100,146,8.70,0.41,0.69,0.41,1.10,4.73,6.86,10.01,18.2,30.3,48.5
479,"BRISEBOIS, PATRICE",Montreal,62,985:44,5,13,4,18,68,91,163,7.35,0.30,0.79,0.24,1.10,4.14,5.54,9.92,11.4,29.5,40.9
480,"HALPERN, JEFF",Tampa Bay,52,883:23,7,9,9,16,60,93,116,11.67,0.48,0.61,0.61,1.09,4.08,6.32,7.88,21.2,27.3,48.5
#,Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,Sh%,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP
481,"STECKEL, DAVID",Washington,76,1049:05,8,11,6,19,103,138,181,7.77,0.46,0.63,0.34,1.09,5.89,7.89,10.35,28.6,39.3,67.9
482,"BEGIN, STEVE",Dallas,62,664:34,7,5,3,12,90,117,147,7.78,0.63,0.45,0.27,1.08,8.13,10.56,13.27,41.2,29.4,70.6
483,"TUCKER, DARCY",Colorado,63,889:20,8,8,3,16,94,124,154,8.51,0.54,0.54,0.20,1.08,6.34,8.37,10.39,29.6,29.6,59.3
484,"KELLY, CHRIS",Ottawa,82,1279:12,12,11,8,23,118,151,193,10.17,0.56,0.52,0.38,1.08,5.53,7.08,9.05,38.7,35.5,74.2
485,"VEILLEUX, STEPHANE",Minnesota,81,1279:29,13,10,4,23,146,203,263,8.90,0.61,0.47,0.19,1.08,6.85,9.52,12.33,43.3,33.3,76.7
486,"PYATT, TAYLOR",Vancouver,68,1003:41,9,9,6,18,97,129,151,9.28,0.54,0.54,0.36,1.08,5.80,7.71,9.03,26.5,26.5,52.9
487,"ADAMS, CRAIG",Pittsburgh,45,391:03,2,5,4,7,47,67,81,4.26,0.31,0.77,0.61,1.07,7.21,10.28,12.43,25.0,62.5,87.5
488,"CLUTTERBUCK, CAL",Minnesota,78,1014:11,11,7,5,18,136,204,254,8.09,0.65,0.41,0.30,1.06,8.05,12.07,15.03,36.7,23.3,60.0
489,"METROPOLIT, GLEN",Montreal,76,957:53,6,11,7,17,82,101,132,7.32,0.38,0.69,0.44,1.06,5.14,6.33,8.27,24.0,44.0,68.0
490,"TYUTIN, FEDOR",Columbus,82,1927:18,9,25,12,34,167,241,336,5.39,0.28,0.78,0.37,1.06,5.20,7.50,10.46,9.6,26.6,36.2
491,"YELLE, STEPHANE",Boston,77,1021:35,7,11,6,18,72,98,111,9.72,0.41,0.65,0.35,1.06,4.23,5.76,6.52,26.9,42.3,69.2
492,"BOYLE, BRIAN",Los Angeles,28,283:55,4,1,0,5,36,45,58,11.11,0.85,0.21,0.00,1.06,7.61,9.51,12.26,80.0,20.0,100.0
493,"TAMBELLINI, JEFF",NY Islanders,65,852:12,7,8,3,15,98,131,168,7.14,0.49,0.56,0.21,1.06,6.90,9.22,11.83,38.9,44.4,83.3
494,"PADDOCK, CAM",St. Louis,16,170:48,2,1,0,3,17,19,23,11.76,0.70,0.35,0.00,1.05,5.97,6.67,8.08,66.7,33.3,100.0
495,"SCHLEMKO, DAVID",Arizona,3,57:48,0,1,0,1,3,3,9,0.00,0.00,1.04,0.00,1.04,3.11,3.11,9.34,0.0,33.3,33.3
496,"REGIN, PETER",Ottawa,11,115:56,1,1,0,2,7,12,19,14.29,0.52,0.52,0.00,1.04,3.62,6.21,9.83,50.0,50.0,100.0
497,"MARCHANT, TODD",Anaheim,72,1046:11,5,13,8,18,101,133,144,4.95,0.29,0.75,0.46,1.03,5.79,7.63,8.26,19.2,50.0,69.2
498,"DRAPER, KRIS",Detroit,78,934:07,7,9,5,16,92,115,138,7.61,0.45,0.58,0.32,1.03,5.91,7.39,8.86,28.0,36.0,64.0
499,"NIEDERMAYER, ROB",Anaheim,79,1229:27,14,7,3,21,88,116,136,15.91,0.68,0.34,0.15,1.02,4.29,5.66,6.64,51.9,25.9,77.8
500,"NUMMINEN, TEPPO",Buffalo,57,996:54,2,15,5,17,34,40,78,5.88,0.12,0.90,0.30,1.02,2.05,2.41,4.69,4.8,35.7,40.5
501,"FEDORUK, TODD",Arizona,72,762:36,6,7,1,13,56,74,97,10.71,0.47,0.55,0.08,1.02,4.41,5.82,7.63,24.0,28.0,52.0
502,"FINGER, JEFF",Toronto,66,1351:03,6,17,6,23,68,104,163,8.82,0.27,0.76,0.27,1.02,3.02,4.62,7.24,9.7,27.4,37.1
503,"MEECH, DEREK",Detroit,41,411:51,2,5,5,7,44,56,82,4.55,0.29,0.73,0.73,1.02,6.41,8.16,11.95,12.5,31.2,43.8
504,"ROZSIVAL, MICHAL",NY Rangers,76,1708:52,7,22,14,29,119,185,276,5.88,0.25,0.77,0.49,1.02,4.18,6.50,9.69,9.0,28.2,37.2
505,"EMINGER, STEVE",Florida,71,1533:23,5,21,7,26,85,122,174,5.88,0.20,0.82,0.27,1.02,3.33,4.77,6.81,6.6,27.6,34.2
506,"ODUYA, JOHNNY",New Jersey,82,1711:42,7,22,9,29,108,161,240,6.48,0.25,0.77,0.32,1.02,3.79,5.64,8.41,8.3,26.2,34.5
507,"PETERSEN, TOBY",Dallas,57,650:41,4,7,7,11,80,102,117,5.00,0.37,0.65,0.65,1.01,7.38,9.41,10.79,18.2,31.8,50.0
508,"EAVES, PATRICK",Carolina,74,831:56,6,8,4,14,115,151,185,5.22,0.43,0.58,0.29,1.01,8.29,10.89,13.34,25.0,33.3,58.3
509,"MELICHAR, JOSEF",Tampa Bay,39,537:13,0,9,5,9,19,25,49,0.00,0.00,1.01,0.56,1.01,2.12,2.79,5.47,0.0,45.0,45.0
510,"MONTADOR, STEVE",Boston,78,1260:29,4,17,7,21,117,170,224,3.42,0.19,0.81,0.33,1.00,5.57,8.09,10.66,5.7,24.3,30.0
511,"MAY, BRAD",Toronto,58,421:02,1,6,3,7,32,46,62,3.12,0.14,0.85,0.43,1.00,4.56,6.56,8.84,7.1,42.9,50.0
512,"ENSTROM, TOBIAS",Winnipeg,82,1929:05,5,27,12,32,86,119,169,5.81,0.16,0.84,0.37,1.00,2.67,3.70,5.26,4.8,26.0,30.8
513,"STAPLETON, TIM",Toronto,4,60:22,1,0,0,1,9,11,12,11.11,0.99,0.00,0.00,0.99,8.95,10.93,11.93,33.3,0.0,33.3
514,"GORDON, BOYD",Washington,63,847:40,5,9,5,14,69,95,113,7.25,0.35,0.64,0.35,0.99,4.88,6.72,8.00,27.8,50.0,77.8
515,"ZUBOV, SERGEI",Dallas,10,242:55,0,4,3,4,15,29,39,0.00,0.00,0.99,0.74,0.99,3.71,7.16,9.63,0.0,33.3,33.3
516,"CARCILLO, DAN",Philadelphia,74,852:18,3,11,5,14,130,165,208,2.31,0.21,0.77,0.35,0.99,9.15,11.62,14.64,11.5,42.3,53.8
517,"BAYDA, RYAN",Carolina,70,731:36,5,7,2,12,62,100,121,8.06,0.41,0.57,0.16,0.98,5.08,8.20,9.92,29.4,41.2,70.6
518,"CLARK, CHRIS",Washington,32,370:13,1,5,2,6,36,52,72,2.78,0.16,0.81,0.32,0.97,5.83,8.43,11.67,9.1,45.5,54.5
519,"LASHOFF, MATT",Tampa Bay,28,494:55,0,8,2,8,25,33,50,0.00,0.00,0.97,0.24,0.97,3.03,4.00,6.06,0.0,47.1,47.1
520,"STASTNY, YAN",St. Louis,34,433:21,3,4,3,7,30,42,54,10.00,0.42,0.55,0.42,0.97,4.15,5.82,7.48,27.3,36.4,63.6
#,Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,Sh%,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP
521,"PRIMEAU, WAYNE",Calgary,24,249:06,0,4,3,4,22,32,36,0.00,0.00,0.96,0.72,0.96,5.30,7.71,8.67,0.0,80.0,80.0
522,"WHITE, IAN",Toronto,71,1621:40,10,16,8,26,158,222,321,6.33,0.37,0.59,0.30,0.96,5.85,8.21,11.88,12.5,20.0,32.5
523,"CARLE, MATT",Philadelphia,76,1625:32,5,21,11,26,85,111,178,5.88,0.18,0.78,0.41,0.96,3.14,4.10,6.57,6.6,27.6,34.2
524,"NOKELAINEN, PETTERI",Anaheim,50,562:49,4,5,4,9,56,75,88,7.14,0.43,0.53,0.43,0.96,5.97,8.00,9.38,33.3,41.7,75.0
525,"MINARD, CHRISTOPHER",Pittsburgh,20,188:16,1,2,2,3,33,39,48,3.03,0.32,0.64,0.64,0.96,10.52,12.43,15.30,14.3,28.6,42.9
526,"MEYER, FREDDY",NY Islanders,27,566:32,4,5,5,9,36,46,68,11.11,0.42,0.53,0.53,0.95,3.81,4.87,7.20,22.2,27.8,50.0
527,"POWE, DARROLL",Philadelphia,60,632:20,5,5,2,10,71,98,128,7.04,0.47,0.47,0.19,0.95,6.74,9.30,12.15,29.4,29.4,58.8
528,"FERENCE, ANDREW",Boston,47,1012:01,1,15,6,16,72,103,148,1.39,0.06,0.89,0.36,0.95,4.27,6.11,8.77,2.2,33.3,35.6
529,"GIROUX, ALEXANDRE",Washington,12,126:52,1,1,1,2,19,29,37,5.26,0.47,0.47,0.47,0.95,8.99,13.72,17.50,20.0,20.0,40.0
530,"MALTBY, KIRK",Detroit,77,706:12,5,6,4,11,56,76,107,8.93,0.42,0.51,0.34,0.93,4.76,6.46,9.09,29.4,35.3,64.7
531,"STEWART, ANTHONY",Florida,59,451:06,2,5,2,7,56,77,87,3.57,0.27,0.67,0.27,0.93,7.45,10.24,11.57,28.6,71.4,100.0
532,"WALLACE, TIM",Pittsburgh,16,129:53,0,2,1,2,17,21,24,0.00,0.00,0.92,0.46,0.92,7.85,9.70,11.09,0.0,50.0,50.0
533,"CAVANAGH, TOM",San Jose,17,131:22,1,1,1,2,9,16,21,11.11,0.46,0.46,0.46,0.91,4.11,7.31,9.59,33.3,33.3,66.7
534,"NEIL, CHRIS",Ottawa,60,658:24,3,7,5,10,59,74,98,5.08,0.27,0.64,0.46,0.91,5.38,6.74,8.93,13.6,31.8,45.5
535,"PICARD, ALEXANDRE",Ottawa,62,990:08,6,9,3,15,82,113,165,7.32,0.36,0.55,0.18,0.91,4.97,6.85,10.00,11.5,17.3,28.8
536,"DALEY, TREVOR",Dallas,75,1650:18,7,18,11,25,104,144,195,6.73,0.25,0.65,0.40,0.91,3.78,5.24,7.09,10.0,25.7,35.7
537,"PAHLSSON, SAMUEL",Chicago,65,1188:50,7,11,5,18,88,120,139,7.95,0.35,0.56,0.25,0.91,4.44,6.06,7.02,20.6,32.4,52.9
538,"HELMER, BRYAN",Washington,12,198:51,0,3,2,3,8,16,24,0.00,0.00,0.91,0.60,0.91,2.41,4.83,7.24,0.0,37.5,37.5
539,"COLLITON, JEREMY",NY Islanders,6,66:19,0,1,1,1,4,5,5,0.00,0.00,0.90,0.90,0.90,3.62,4.52,4.52,0.0,100.0,100.0
540,"KLEIN, KEVIN",Nashville,63,797:52,4,8,3,12,41,63,97,9.76,0.30,0.60,0.23,0.90,3.08,4.74,7.29,14.3,28.6,42.9
541,"WOYWITKA, JEFF",St. Louis,65,1201:14,3,15,5,18,71,102,152,4.23,0.15,0.75,0.25,0.90,3.55,5.09,7.59,5.2,25.9,31.0
542,"RICHARDSON, BRAD",Los Angeles,31,334:40,0,5,4,5,37,48,67,0.00,0.00,0.90,0.72,0.90,6.63,8.61,12.01,0.0,71.4,71.4
543,"SARICH, CORY",Calgary,75,1341:51,2,18,8,20,57,98,160,3.51,0.09,0.80,0.36,0.89,2.55,4.38,7.15,4.2,37.5,41.7
544,"JOHNSON, AARON",Chicago,38,537:21,3,5,1,8,27,43,57,11.11,0.34,0.56,0.11,0.89,3.01,4.80,6.36,11.1,18.5,29.6
545,"BROOKBANK, WADE",Carolina,27,67:20,1,0,0,1,8,12,13,12.50,0.89,0.00,0.00,0.89,7.13,10.69,11.58,33.3,0.0,33.3
546,"BURISH, ADAM",Chicago,66,606:39,6,3,2,9,83,96,105,7.23,0.59,0.30,0.20,0.89,8.21,9.49,10.38,35.3,17.6,52.9
