Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
428,Corban Knight,24,CGY,C,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,6:24
429,Slater Koekkoek,20,TBL,D,3,0,0,0,0,2,0,0,0,0,0,0,0,6,0.0,50,16:35
430,Mikko Koivu,31,MIN,C,80,14,34,48,2,38,10,4,0,4,23,11,0,179,7.8,1542,19:16
431,Leo Komarov,28,TOR,C,62,8,18,26,0,18,7,0,1,1,15,1,2,84,9.5,911,14:42
432,Tomas Kopecky,32,FLA,RW,64,2,6,8,-19,28,2,0,0,1,6,0,0,106,1.9,826,12:54
433,Anze Kopitar,27,LAK,C,79,16,48,64,-2,10,10,6,0,4,30,18,0,134,11.9,1532,19:23
434,Lauri Korpikoski,28,ARI,LW,69,6,15,21,-27,12,1,5,0,1,11,3,1,82,7.3,1052,15:15
435,Mike Kostka,29,NYR,D,7,0,1,1,1,0,0,0,0,0,1,0,0,7,0.0,108,15:23
436,Brandon Kozun,24,TOR,RW,20,2,2,4,-3,6,2,0,0,0,2,0,0,8,25.0,158,7:55
437,Chris Kreider,23,NYR,LW,80,21,25,46,24,88,14,7,0,5,24,1,0,180,11.7,1257,15:43
438,David Krejci,28,BOS,C,47,7,24,31,7,22,5,1,1,1,17,7,0,70,10.0,854,18:10
439,Niklas Kronwall,34,DET,D,80,9,35,44,-4,40,6,3,0,1,15,20,0,101,8.9,1907,23:50
440,Torey Krug,23,BOS,D,78,12,27,39,12,20,10,2,0,0,15,12,0,205,5.9,1529,19:36
,,Scoring,,,Goals,Assists,,,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
441,Marcus Kruger,24,CHI,C,81,7,10,17,-5,32,7,0,0,1,10,0,0,126,5.6,1060,13:05
442,Nikita Kucherov,21,TBL,RW,82,29,36,65,38,37,27,2,0,2,23,13,0,191,15.2,1226,14:57
443,Brett Kulak,21,CGY,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,20,19:31
444,Nikolai Kulemin,28,NYI,LW,82,15,16,31,7,21,12,0,3,0,15,0,1,115,13.0,1219,14:52
445,Dmitry Kulikov,24,FLA,D,73,3,19,22,0,48,2,1,0,0,13,5,1,83,3.6,1556,21:19
446,Chris Kunitz,35,PIT,LW,74,17,23,40,2,56,7,9,1,5,16,7,0,170,10.0,1324,17:53
447,Evgeny Kuznetsov,22,WSH,C,80,11,26,37,10,24,7,4,0,1,17,9,0,127,8.7,1066,13:20
448,Andrew Ladd,29,WPG,LW,81,24,38,62,9,72,15,9,0,6,27,10,1,224,10.7,1626,20:04
449,Brooks Laich,31,WSH,C,66,7,13,20,-2,24,7,0,0,2,11,1,1,106,6.6,972,14:43
450,Anton Lander,23,EDM,C,38,6,14,20,-12,14,2,4,0,2,11,3,0,61,9.8,570,15:01
451,Gabriel Landeskog,22,COL,LW,82,23,36,59,-2,79,15,8,0,2,27,9,0,214,10.7,1517,18:30
452,Maxim Lapierre,29,TOT,C,80,2,9,11,-15,32,2,0,0,0,9,0,0,86,2.3,857,10:43
453,Adam Larsson,22,NJD,D,64,3,21,24,2,34,3,0,0,1,18,0,3,91,3.3,1342,20:58
454,Johan Larsson,22,BUF,LW,39,6,10,16,0,12,5,1,0,0,7,3,0,50,12.0,566,14:31
455,Brian Lashoff,24,DET,D,11,0,2,2,4,6,0,0,0,0,2,0,0,7,0.0,146,13:17
456,Michael Latta,23,WSH,C,53,0,6,6,4,68,0,0,0,0,6,0,0,24,0.0,444,8:23
