Champion,RunnerUp,ConferenceElim,SemiElim,QuarterElim,TOI 5v5,TOI 5v4,TOI 5v3,TOI 4v5,TOI 4v4,TOI 4v3,TOI 3v5,TOI 3v4,TOI 3v3,5v5 TOI Tot,5v5 GF,5v5 GA,5v5 GF/60,5v5 SF/60,5v5 Sh%,5v5 GA/60,5v5 SA/60,5v5 Sv%,5v5 +-per60,5v4 TOI Tot,5v4 GF,5v4 GA,5v4 GF/60,5v4 SF/60,5v4 Sh%,5v4 GA/60,5v4 SA/60,5v4 Sv%,5v4 +-per60,4v5 TOI Tot,4v5 GF,4v5 GA,4v5 GF/60,4v5 SF/60,4v5 Sh%,4v5 GA/60,4v5 SA/60,4v5 Sv%,4v5 +-per60
0,0,0,0,1,47,5.5,0.3,6,2,0,0.2,0.1,0,3853.8,225,140,3.5,31.9,890,2.2,30,927,1.3,450.3,69,8,9.2,56.6,838,1.1,9.9,892,8.1,488.8,4,59,0.5,10.7,954,7.2,50,855,-6.8
0,0,0,0,1,48.5,5.6,0.1,4.6,1.7,0.1,0.2,0.1,0,3978.7,157,150,2.4,29.8,921,2.3,28.6,921,0.1,458.3,38,6,5,50.5,902,0.8,6.7,882,4.2,375.4,5,51,0.8,8.6,907,8.2,53.2,847,-7.4
0,0,0,1,0,48.3,5.3,0.1,5,1.9,0.1,0.1,0.1,0,3956.6,165,153,2.5,28.5,912,2.3,27.5,916,0.2,432.5,60,6,8.3,61,864,0.8,8,897,7.5,413.3,4,35,0.6,5.1,886,5.1,57.9,912,-4.5
0,0,0,1,0,47.9,5.4,0.2,5.3,1.8,0.1,0.1,0.1,0,3927.2,200,142,3.1,30.4,900,2.2,28.4,924,0.9,444.4,38,8,5.1,50.6,899,1.1,6.6,837,4.1,433.3,10,44,1.4,9.6,855,6.1,50,878,-4.7
0,0,0,1,0,49.4,4.4,0.1,5.1,1.4,0,0.1,0.1,0,4052,193,119,2.9,31.3,909,1.8,28.1,937,1.1,360.1,50,6,8.3,57.1,854,1,8.8,887,7.3,420.9,8,41,1.1,10.8,895,5.8,49.6,882,-4.7
0,0,0,1,0,48.7,5.1,0.1,5.1,2,0.1,0.1,0.1,0,3997.3,145,130,2.2,25.7,915,2,26.6,927,0.2,416.1,43,8,6.2,47.4,869,1.2,7.2,840,5,421.5,4,50,0.6,6.5,913,7.1,50.4,859,-6.5
0,0,0,1,0,46.7,5.8,0.1,6,1.7,0.1,0.2,0.1,0.1,3831.6,185,150,2.9,31.6,908,2.3,30.3,923,0.5,476.8,41,4,5.2,46.1,888,0.5,8.2,938,4.7,495.3,13,44,1.6,11.6,865,5.3,42.9,876,-3.8
0,0,0,1,0,47.8,5.1,0.2,5.9,1.8,0.1,0.1,0.1,0,3917.8,157,138,2.4,29.8,919,2.1,28.2,925,0.3,415.2,39,5,5.6,59.1,905,0.7,8.5,915,4.9,485.4,7,38,0.9,10.4,917,4.7,47,900,-3.8
0,0,0,1,0,48.2,5.2,0.1,5.5,1.7,0.1,0.1,0.1,0,3950.3,163,138,2.5,28.9,914,2.1,30.5,931,0.4,429.9,36,2,5,46.6,892,0.3,5.7,951,4.7,447,5,36,0.7,8.6,922,4.8,47.5,898,-4.2
0,0,0,1,0,47.6,5.6,0.2,5.7,1.6,0.1,0.1,0.1,0,3904.5,174,172,2.7,32.7,918,2.6,30.3,913,0,456.1,61,7,8,57.4,860,0.9,9.1,899,7.1,468.8,5,46,0.6,8.2,922,5.9,49.3,881,-5.2
0,0,0,1,0,47.7,5,0.1,5.6,2.3,0.1,0.1,0.1,0,3909.7,147,109,2.3,30.2,925,1.7,26,936,0.6,414,40,3,5.8,50.3,885,0.4,6.4,932,5.4,463.2,7,36,0.9,8.4,892,4.7,43,892,-3.8
0,0,0,1,0,49.6,4.8,0.1,4.6,1.6,0,0.1,0.1,0,4064,168,157,2.5,27.4,909,2.3,30.5,924,0.2,392.2,50,4,7.6,45.4,832,0.6,7.5,918,7,373.3,5,38,0.8,6.6,878,6.1,53.2,885,-5.3
